name,about,founded,website,logo,country,abbr,alias
federación colombiana de rugby,"La Federación Colombiana de Rugby tiene como objetivo sacar adelante los procesos de desarrollo del rugby en Colombia. Realiza diferentes actividades con sus afiliadas buscando el mejoramiento de esta disciplina. Al interior del país, incentiva la práctica de este deporte y fuera de sus fronteras, pretende mostrar en el concierto internacional, la proyección y calidad de sus deportistas. La Federación tiene su sede principal en la ciudad de Medellín, Colombia, Sudamérica. Componen esta entidad diez ligas departamentales y otras en proceso de vinculación.",1998,http://colombia.rugby/,https://pbs.twimg.com/profile_images/985682586830884870/4qRHicEs_400x400.jpg,colombia,fcr,tucanes
federación peruana de rugby,La Federación Peruana de Rugby es la encargada de organizar el rugby en Perú y es miembro de World Rugby y Sudamérica Rugby.,1997,https://www.world.rugby/member-unions/25,https://pbs.twimg.com/profile_images/897512914101383168/RAXxeDHf_400x400.jpg,perú,fpr,tumis
unión argentina de rugby,"La Unión Argentina de Rugby es la institución madre del rugby argentino, la cual nucléa a todas las uniones del país. La UAR se encuentra bajo la órbita de la International Rugby Board, órgano mandamás del rugby mundial.

Los Pumas es el Seleccionado Mayor y el motor principal del rugby en nuestro país. El segundo equipo en importancia son los Jaguares, seleccionado que se utiliza para darle competencia a aquellos jugadores jóvenes que tienen grandes proyecciones.",1899,https://uar.com.ar/,https://uar.com.ar/wp-content/themes/wpbootstrap/img/logouar.png,argentina,uar,pumas
Confederación Brasileña de Rugby,La Confederação Brasileira de Rugby (Confederación Brasileña de Rugby) es el órgano supremo del rugby en el Brasil. Fue fundada en 1972 y se unió a la International Rugby Board en 1995.,1972,http://ww2.brasilrugby.com.br/,https://cdn.awsli.com.br/400x350/1027/1027701/logo/09405ceafd.png,brasil,cbr,tupis
