name,summary,body,image_src,image_legend,video_emb,video_legend,tags
Andrés Zafra,Andrés Zafra hizo historia en Colombia al ser el primer jugador de su país contratado en el rugby profesional de Francia. ,"El colombiano de casi 2 metros de estatura empezó jugando rugby con el club Carboneros y al poco tiempo ya estaría haciendo parte del seleccionado de su región, Norte de Santander, compitiendo en el torneo nacional más representativo. Pronto su contextura física y determinación le permitieron hacer parte de la selección juvenil de rugby de su país, Tucanes M18.

A la edad de 19 años unos embajadores del rugby francés en Colombia le propusieron viajar a Francia y empezar un proceso de adaptación que luego le permitiera vincularse a un club de rugby profesional. Zafra aceptó, en corto tiempo viajó a Francia y empezó a entrenarse en Givors con el club de rugby local, quienes competían en tercera división. Allí demostró su coraje e ímpetu, dejando claro que estaba dispuesto a conquistar el rugby europeo.

Juego a juego fue escalando hasta llegar al club de rugby profesional Agen y competir en uno de los torneos más vistosos del mundo, el Top 14 de Francia. Juega de segunda línea y se ha ganado la titular gracias a su potencia, juego agresivo y además ha conseguido anotar en varias ocasiones. Todo esto lo convierte en el embajador colombiano del rugby en Europa, motivando así a que otros jugadores de su país sigan construyendo sus sueños de ser un rugbier profesional.",https://media.gettyimages.com/photos/andres-zafra-tarazona-of-agen-during-the-top-14-match-between-agen-picture-id1131125716?s=2048x2048,Andrés Zafra compitiendo con su equipo Agen.,"<iframe width=""100% height=""100%"" src=""https://www.youtube.com/embed/Ngrdptnrpp4"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Nota sobre Andrés Zafra. Telemedellín,"RugbyColombia,Jugadores,SegundaLínea"
Felipe Sanclemente,Es jugador y entrenador en Lobos Rugby Club.,"Felipe Sanclemente ha sido entrenador de la selección femenina de la Liga Vallecaucana de Rugby y del equipo femenino de rugby 7's del seleccionado nacional. Empezó jugando con el equipo de la Universidad del Valle en Cali, Colombia, donde ahora es el profe encargado de enseñar la práctica de ésta disciplina deportiva a las mujeres de ésta institución.

Se caracteríza por ser un jugador fuerte y de amplia experiencia, juega de pilar y en los scrum se destaca su habilidad para empujar. Es un jugador entregado a su club y siempre está en la búsqueda de aportar al desarrollo del rugby en la región.",https://scontent.fclo3-1.fna.fbcdn.net/v/t1.0-0/p640x640/90026094_3183948148302771_5771892921439617024_o.jpg?_nc_cat=103&_nc_sid=e007fa&_nc_ohc=admQX3JZsx4AX__L02P&_nc_ht=scontent.fclo3-1.fna&_nc_tp=6&oh=b9806a0fb2f3fefcc16170bfe9fb7a4f&oe=5EADA2BC,"Felipe Sanclemente, Pilar Lobos RC. MOCJ - Fotografía en Movimiento","<iframe width=""100%"" height=""100%"" src=""https://www.youtube.com/embed/c6boj1Y--Ks"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Personajes Lobos Rugby Club - Felipe Sanclemente,"Entrenadores,Jugadores,RugbyColombia,PrimeraLínea,Pilares"
